timestamp,op,addr,data
E2DD1C,W,04,0A20
E2DDD7,R,06,0000
E2DDE4,W,05,4000
E42F76,W,09,0812
E4303F,W,09,0812
E43055,R,23,0200
E431E3,W,09,0A12
E431EC,W,05,0000
E431F5,W,06,0000
E431FD,W,1B,3342
E43206,W,1C,0000
E4320F,W,1A,0031
E5418E,W,09,0B12
E54196,W,14,0000
E567E1,W,09,0912
E567EA,W,04,0A20
E568A9,R,06,0000
E568B6,W,05,4000
E6BA47,W,09,0812
E6BB10,W,09,0812
E6BB26,R,23,0200
E6BCB4,W,09,0A12
E6BCBC,W,05,0000
E6BCC5,W,06,0000
E6BCCE,W,1B,3342
E6BCD7,W,1C,0000
E6BCDF,W,1A,0031
E7CC5E,W,09,0B12
E7CC66,W,14,0000
E7F2B3,W,09,0912
E7F2BB,W,04,0A20
E7F377,R,06,0000
E7F383,W,05,4000
E94516,W,09,0812
E945E0,W,09,0812
E945F6,R,23,0200
E94DBC,W,0F,8070
E9501D,W,09,0A12
E95026,W,05,0000
E9502F,W,06,0000
E95038,W,1B,3342
E95040,W,1C,0000
E95049,W,1A,0031
EA572E,W,09,0B12
EA5737,W,14,0000
EA7D82,W,09,0912
EA7D8B,W,04,0A20
EA7E49,R,06,0000
EA7E55,W,05,4000
EBCFE7,W,09,0812
EBD0B1,W,09,0812
EBD0C7,R,23,0200
EBD254,W,09,0A12
EBD25D,W,05,0000
EBD265,W,06,0000
EBD26E,W,1B,3342
EBD277,W,1C,0000
EBD27F,W,1A,0031
ECE1FD,W,09,0B12
ECE206,W,14,0000
ED0851,W,09,0912
ED085A,W,04,0A20
ED0918,R,06,0000
ED0924,W,05,4000
EE5AB7,W,09,0812
EE5B80,W,09,0812
EE5B96,R,23,0200
EE5D23,W,09,0A12
EE5D2C,W,05,0000
EE5D35,W,06,0000
EE5D3D,W,1B,3342
EE5D46,W,1C,0000
EE5D4F,W,1A,0031
EF6CCC,W,09,0B12
EF6CD5,W,14,0000
EF9322,W,09,0912
EF932B,W,04,0A20
EF93E7,R,06,0000
EF93F4,W,05,4000
F0E587,W,09,0812
F0E650,W,09,0812
F0E666,R,23,0200
F0E7F4,W,09,0A12
F0E7FC,W,05,0000
F0E805,W,06,0000
F0E80E,W,1B,3342
F0E816,W,1C,0000
F0E81F,W,1A,0031
F1F79E,W,09,0B12
F1F7A7,W,14,0000
